"COD_DIAGNOSTICO","DES_DIAGNOSTICO","DTA_DESACTIVO","COD_VERDIAG","DES_DIAGNOSTICO_LONGA","DIAG_PAI","DIAG_MODULOS"
"1713","NEOPLASIA MALIGNA TEC.CONJUNT. E PARTES MOLES MEMBRO INF. INCL. ANCA",,"ICD9","NEOPLASIA MALIGNA TEC.CONJUNT. E PARTES MOLES MEMBRO INF. INCL. ANCA","171",""
"1715","NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E PARTES MOLES DO ABDOMEN",,"ICD9","NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E PARTES MOLES DO ABDOMEN","171",""
"1716","NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E PARTES MOLES DA PELVE",,"ICD9","NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E PARTES MOLES DA PELVE","171",""
"1718","NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E PARTES MOLES, LOCAL NCOP",,"ICD9","NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E PARTES MOLES, LOCAL NCOP","171",""
"1722","MELANOMA MALIGNO DA PELE DA ORELHA E CANAL AUDITIVO EXTERNO",,"ICD9","MELANOMA MALIGNO DA PELE DA ORELHA E CANAL AUDITIVO EXTERNO","172",""
"1727","MELANOMA MALIGNO DA PELE DO MEMBRO INFERIOR, INCLUSIVE ANCA",,"ICD9","MELANOMA MALIGNO DA PELE DO MEMBRO INFERIOR, INCLUSIVE ANCA","172",""
"161","NEOPLASIA MALIGNA DA LARINGE",,"ICD9","NEOPLASIA MALIGNA DA LARINGE","14",""
"1735","NEOPLASIA MALIGNA DA PELE DO TRONCO, EXCEPTO DO ESCROTO",,"ICD9","NEOPLASIA MALIGNA DA PELE DO TRONCO, EXCEPTO DO ESCROTO","173",""
"1741","NEOPLASIA MALIGNA DA PORCAO CENTRAL DA MAMA FEMININA",,"ICD9","NEOPLASIA MALIGNA DA PORCAO CENTRAL DA MAMA FEMININA","174",""
"1743","NEOPLASIA MALIGNA DO QUADRANTE INFERIOR INTERNO DA MAMA FEMININA",,"ICD9","NEOPLASIA MALIGNA DO QUADRANTE INFERIOR INTERNO DA MAMA FEMININA","174",""
"1745","NEOPLASIA MALIGNA DO QUADRANTE INFERIOR EXTERNO DA MAMA FEMININA",,"ICD9","NEOPLASIA MALIGNA DO QUADRANTE INFERIOR EXTERNO DA MAMA FEMININA","174",""
"1748","NEOPLASIA MALIGNA DA MAMA FEMININA, LOCALIZACAO NCOP",,"ICD9","NEOPLASIA MALIGNA DA MAMA FEMININA, LOCALIZACAO NCOP","174",""
"1759","NEOPLASIA MALIGNA DE LOCAL NCOP OU NAO ESPECIFICADO DA MAMA MASCULINA",,"ICD9","NEOPLASIA MALIGNA DE LOCAL NCOP OU NAO ESPECIFICADO DA MAMA MASCULINA","175",""
"1808","TUMOR MALIGNO DO COLO DO UTERO NCOP",,"ICD9","TUMOR MALIGNO DO COLO DO UTERO NCOP","180",""
"1705","TUMOR MALIGNO DOS OSSOS CURTOS DO MEMBRO SUPERIOR",,"ICD9","TUMOR MALIGNO DOS OSSOS CURTOS DO MEMBRO SUPERIOR","170",""
"173","NEOPLASIA MALIGNA DA PELE, NCOP",,"ICD9","NEOPLASIA MALIGNA DA PELE, NCOP","14",""
"1732","NEOPLASIA MALIGNA DA PELE DA ORELHA E DO CANAL AUDITIVO EXTERNO",,"ICD9","NEOPLASIA MALIGNA DA PELE DA ORELHA E DO CANAL AUDITIVO EXTERNO","173",""
"1734","NEOPLASIA MALIGNA DO COURO CABELUDO E DA PELE DO PESCOCO",,"ICD9","NEOPLASIA MALIGNA DO COURO CABELUDO E DA PELE DO PESCOCO","173",""
"185","NEOPLASIA MALIGNA DA PROSTATA",,"ICD9","NEOPLASIA MALIGNA DA PROSTATA","14",""
"1872","TUMOR MALIGNO DA GLANDE DO PENIS",,"ICD9","TUMOR MALIGNO DA GLANDE DO PENIS","187",""
"1873","TUMOR MALIGNO DO CORPO DO PENIS",,"ICD9","TUMOR MALIGNO DO CORPO DO PENIS","187",""
"1880","TUMOR MALIGNO DO TRIGONO VESICAL",,"ICD9","TUMOR MALIGNO DO TRIGONO VESICAL","188",""
"1890","NEOPLASIA MALIGNA DO RIM, EXCEPTO BACINETE",,"ICD9","NEOPLASIA MALIGNA DO RIM, EXCEPTO BACINETE","189",""
"1892","NEOPLASIA MALIGNA DO URETER",,"ICD9","NEOPLASIA MALIGNA DO URETER","189",""
"1893","NEOPLASIA MALIGNA DA URETRA",,"ICD9","NEOPLASIA MALIGNA DA URETRA","189",""
"1901","TUMOR MALIGNO DA ORBITA",,"ICD9","TUMOR MALIGNO DA ORBITA","190",""
"1902","TUMOR MALIGNO DA GLANDULA LACRIMAL",,"ICD9","TUMOR MALIGNO DA GLANDULA LACRIMAL","190",""
"1903","TUMOR MALIGNO DA CONJUNTIVA",,"ICD9","TUMOR MALIGNO DA CONJUNTIVA","190",""
"1906","TUMOR MALIGNO DA COROIDE",,"ICD9","TUMOR MALIGNO DA COROIDE","190",""
"191","TUMOR MALIGNO DO ENCEFALO",,"ICD9","TUMOR MALIGNO DO ENCEFALO","14",""
"1911","TUMOR MALIGNO DO LOBO FRONTAL",,"ICD9","TUMOR MALIGNO DO LOBO FRONTAL","191",""
"1913","TUMOR MALIGNO DO LOBO PARIETAL",,"ICD9","TUMOR MALIGNO DO LOBO PARIETAL","191",""
"1918","TUMOR MALIGNO DO ENCEFALO NCOP",,"ICD9","TUMOR MALIGNO DO ENCEFALO NCOP","191",""
"683","LINFADENITE AGUDA",,"ICD9","LINFADENITE AGUDA","68",""
"6851","CISTO PILONIDAL SEM MENÇÃO DE ABCESSO",,"ICD9","CISTO PILONIDAL SEM MENÇÃO DE ABCESSO","685",""
"6861","GRANULOMA PIOGENICO",,"ICD9","GRANULOMA PIOGENICO","686",""
"6869","INFECCAO LOCAL DA PELE E TECIDO SUBCUTANEO, NAO ESPECIFICADA",,"ICD9","INFECCAO LOCAL DA PELE E TECIDO SUBCUTANEO, NAO ESPECIFICADA","686",""
"6945","PENFIGOIDE",,"ICD9","PENFIGOIDE","694",""
"6953","ROSACEA",,"ICD9","ROSACEA","695",""
"68111","ONIQUIA E PARONIQUIA DE DEDOS DO PE",,"ICD9","ONIQUIA E PARONIQUIA DE DEDOS DO PE","6811",""
"6820","ABCESSOS E CELULITES DA FACE, NCOP",,"ICD9","ABCESSOS E CELULITES DA FACE, NCOP","682",""
"6822","ABCESSOS E CELULITES DO TRONCO, NCOP",,"ICD9","ABCESSOS E CELULITES DO TRONCO, NCOP","682",""
"6825","ABCESSOS E CELULITES DA NADEGA",,"ICD9","ABCESSOS E CELULITES DA NADEGA","682",""
"36281","HEMORRAGIA RETINIANA",,"ICD9","HEMORRAGIA RETINIANA","3628",""
"36283","EDEMA DA RETINA",,"ICD9","EDEMA DA RETINA","3628",""
"36289","TRANSTORNOS DA RETINA NCOP",,"ICD9","TRANSTORNOS DA RETINA NCOP","3628",""
"3629","TRANSTORNO DA RETINA SOE",,"ICD9","TRANSTORNO DA RETINA SOE","362",""
"36370","DESCOLAMENTO DA COROIDE SOE",,"ICD9","DESCOLAMENTO DA COROIDE SOE","3637",""
"36472","SINEQUIAS ANTERIORES (IRIS)",,"ICD9","SINEQUIAS ANTERIORES (IRIS)","3647",""
"36474","MEMBRANAS DA PUPILA",,"ICD9","MEMBRANAS DA PUPILA","3647",""
"36320","CORIORRETINITE SOE",,"ICD9","CORIORRETINITE SOE","3632",""
"36470","ADERENCIAS DA IRIS SOE",,"ICD9","ADERENCIAS DA IRIS SOE","3647",""
"36441","HIFEMA",,"ICD9","HIFEMA","3644",""
"36442","RUBEOSIS IRIDIS",,"ICD9","RUBEOSIS IRIDIS","3644",""
"36510","GLAUCOMA ANGULO ABERTO SOE",,"ICD9","GLAUCOMA ANGULO ABERTO SOE","3651",""
"36523","GLAUCOMA DE ANGULO FECHADO CRONICO",,"ICD9","GLAUCOMA DE ANGULO FECHADO CRONICO","3652",""
"36541","GLAUCOMA ASSOCIADO A ANOMALIAS CONGENITAS DO ANGULO DA CAMARA",,"ICD9","GLAUCOMA ASSOCIADO A ANOMALIAS CONGENITAS DO ANGULO DA CAMARA","3654",""
"36544","GLAUCOMA ASSOCIADO A SINDROMOS SISTEMICOS (CONGENITOS)",,"ICD9","GLAUCOMA ASSOCIADO A SINDROMOS SISTEMICOS (CONGENITOS)","3654",""
"36589","GLAUCOMA ESPECIFICADO, NCOP",,"ICD9","GLAUCOMA ESPECIFICADO, NCOP","3658",""
"3659","GLAUCOMA SOE",,"ICD9","GLAUCOMA SOE","365",""
"36602","CATARATA SUBCAPSULAR POLAR POSTERIOR",,"ICD9","CATARATA SUBCAPSULAR POLAR POSTERIOR","3660",""
"36604","CATARATA NUCLEAR",,"ICD9","CATARATA NUCLEAR","3660",""
"3661","CATARATA SENIL",,"ICD9","CATARATA SENIL","366",""
"36610","CATARATA SENIL SOE",,"ICD9","CATARATA SENIL SOE","3661",""
"36612","CATARATA SENIL INCIPIENTE",,"ICD9","CATARATA SENIL INCIPIENTE","3661",""
"36614","CATARATA SENIL SUBCAPSULAR POLAR POSTERIOR",,"ICD9","CATARATA SENIL SUBCAPSULAR POLAR POSTERIOR","3661",""
"36615","CATARATA SENIL CORTICAL",,"ICD9","CATARATA SENIL CORTICAL","3661",""
"36617","CATARATA TOTAL OU MADURA",,"ICD9","CATARATA TOTAL OU MADURA","3661",""
"V416","PROBLEMAS DA DEGLUTICAO E DA MASTIGACAO",,"ICD9","PROBLEMAS DA DEGLUTICAO E DA MASTIGACAO","V41",""
"V420","STATUS DE RIM SUBSTITUIDO POR TRANSPLANTE",,"ICD9","STATUS DE RIM SUBSTITUIDO POR TRANSPLANTE","V42",""
"V4589","STATUS POS-CIRURGICO NCOP",,"ICD9","STATUS POS-CIRURGICO NCOP","V458",""
"616","DOENCA INFLAMATORIA DO COLO DO UTERO, DA VAGINA E VULVA",,"ICD9","DOENCA INFLAMATORIA DO COLO DO UTERO, DA VAGINA E VULVA","58",""
"6039","HIDROCELO, SOE",,"ICD9","HIDROCELO, SOE","603",""
"6108","DISPLASIA MAMARIA BENIGNA, NCOP",,"ICD9","DISPLASIA MAMARIA BENIGNA, NCOP","610",""
"6110","DOENCA INFLAMATORIA DA MAMA",,"ICD9","DOENCA INFLAMATORIA DA MAMA","611",""
"6112","FISSURA DO MAMILO",,"ICD9","FISSURA DO MAMILO","611",""
"6114","ATROFIA DA MAMA",,"ICD9","ATROFIA DA MAMA","611",""
"6162","CISTO DA GLANDULA DE BARTHOLIN",,"ICD9","CISTO DA GLANDULA DE BARTHOLIN","616",""
"6170","ENDOMETRIOSE DO UTERO",,"ICD9","ENDOMETRIOSE DO UTERO","617",""
"6171","ENDOMETRIOSE DO OVARIO",,"ICD9","ENDOMETRIOSE DO OVARIO","617",""
"6173","ENDOMETRIOSE DO PERITONEU PELVICO",,"ICD9","ENDOMETRIOSE DO PERITONEU PELVICO","617",""
"6175","ENDOMETRIOSE DO INTESTINO",,"ICD9","ENDOMETRIOSE DO INTESTINO","617",""
"6179","ENDOMETRIOSE, LOCAL NAO ESPECIFICADO",,"ICD9","ENDOMETRIOSE, LOCAL NAO ESPECIFICADO","617",""
"6181","PROLAPSO UTERINO SEM MENCAO DE PROLAPSO DA PAREDE VAGINAL",,"ICD9","PROLAPSO UTERINO SEM MENCAO DE PROLAPSO DA PAREDE VAGINAL","618",""
"6183","PROLAPSO UTEROVAGINAL COMPLETO",,"ICD9","PROLAPSO UTEROVAGINAL COMPLETO","618",""
"6189","PROLAPSO GENITAL SOE",,"ICD9","PROLAPSO GENITAL SOE","618",""
"6191","FISTULA ENTRE OS APARELHOS DIGESTIVO E GENITAL, SEXO FEMININO",,"ICD9","FISTULA ENTRE OS APARELHOS DIGESTIVO E GENITAL, SEXO FEMININO","619",""
"6202","CISTO DO OVARICO NCOP OU NAO ESPECIFICADO",,"ICD9","CISTO DO OVARICO NCOP OU NAO ESPECIFICADO","620",""
"6210","POLIPO DO CORPO DO UTERO",,"ICD9","POLIPO DO CORPO DO UTERO","621",""
"6212","HIPERTROFIA DO UTERO",,"ICD9","HIPERTROFIA DO UTERO","621",""
"6214","HEMATOMETRA (HEMATOMETRIO)",,"ICD9","HEMATOMETRA (HEMATOMETRIO)","621",""
"6219","AFECCAO NAO ESPECIFICADA DO UTERO",,"ICD9","AFECCAO NAO ESPECIFICADA DO UTERO","621",""
"6220","EROSAO E ECTROPIO DO COLO DO UTERO",,"ICD9","EROSAO E ECTROPIO DO COLO DO UTERO","622",""
"6229","TRANSTORNOS NAO INFLAMATORIOS, NAO ESPECIFICADOS DO COLO UTERINO",,"ICD9","TRANSTORNOS NAO INFLAMATORIOS, NAO ESPECIFICADOS DO COLO UTERINO","622",""
"6230","DISPLASIA DA VAGINA",,"ICD9","DISPLASIA DA VAGINA","623",""
"6238","ALTERACOES NAO INFLAMATORIAS DA VAGINA, NCOP",,"ICD9","ALTERACOES NAO INFLAMATORIAS DA VAGINA, NCOP","623",""
"6246","POLIPO DOS LABIOS DA VULVA E DA VULVA",,"ICD9","POLIPO DOS LABIOS DA VULVA E DA VULVA","624",""
"6249","TRANSTORNOS NAO INFLAMATORIOS DA VULVA E PERINEO SOE",,"ICD9","TRANSTORNOS NAO INFLAMATORIOS DA VULVA E PERINEO SOE","624",""
"6250","DISPAREUNIA",,"ICD9","DISPAREUNIA","625",""
"6258","SINTOMAS NCOP ASSOCIADOS COM ORGAOS GENITAIS FEMININOS",,"ICD9","SINTOMAS NCOP ASSOCIADOS COM ORGAOS GENITAIS FEMININOS","625",""
"6262","MENSTRUACAO EXCESSIVA OU FREQUENTE",,"ICD9","MENSTRUACAO EXCESSIVA OU FREQUENTE","626",""
"6264","CICLO MENSTRUAL IRREGULAR",,"ICD9","CICLO MENSTRUAL IRREGULAR","626",""
"6266","METRORRAGIA",,"ICD9","METRORRAGIA","626",""
"6267","HEMORRAGIA POS-COITO",,"ICD9","HEMORRAGIA POS-COITO","626",""
"6269","TRANSTORNO DA MENSTRUACAO OU HEMORRAGIA ANORMAL FEMININA, SOE",,"ICD9","TRANSTORNO DA MENSTRUACAO OU HEMORRAGIA ANORMAL FEMININA, SOE","626",""
"6237","POLIPO DA VAGINA",,"ICD9","POLIPO DA VAGINA","623",""
