"COD_ACTO","DESIGNACAO","REQ_PROCESSO","COD_GRUPO","CONTAGEM","EST_GRUPO","CONT_TAXAS","CONT_FACT","DTA_DESACTIVO","COD_VERDIAG","DESIGNACAO_LONGA"
"1266","REVISAO POS-OPERATORIA DE TECNICAS DE FISTULIZACAO CIRURGICA DA","",,1,,1,1,,"ICD9","REVISAO POS-OPERATORIA DE TECNICAS DE FISTULIZACAO CIRURGICA DA"
"1272","CICLOCRIOTERAPIA","",,1,,1,1,,"ICD9","CICLOCRIOTERAPIA"
"1279","TECNICAS CIRURGICAS DE TRATAMENTO DO GLAUCOMA NCOP","",,1,,1,1,,"ICD9","TECNICAS CIRURGICAS DE TRATAMENTO DO GLAUCOMA NCOP"
"1292","INJECCAO NA CAMARA ANTERIOR","",,1,,1,1,,"ICD9","INJECCAO NA CAMARA ANTERIOR"
"134","EXTRACCAO EXTRACAPSULAR DO CRISTALINO POR TECNICA DE FRAGMENTACA","",,1,,1,1,,"ICD9","EXTRACCAO EXTRACAPSULAR DO CRISTALINO POR TECNICA DE FRAGMENTACA"
"1341","FACOEMULSIFICACAO E ASPIRACAO DE CATARATA","",,1,,1,1,,"ICD9","FACOEMULSIFICACAO E ASPIRACAO DE CATARATA"
"1343","FACOFRAGMENTACAO MECANICA E OUTRA ASPIRACAO DE CATARATA","",,1,,1,1,,"ICD9","FACOFRAGMENTACAO MECANICA E OUTRA ASPIRACAO DE CATARATA"
"1361","DISCISAO DE CATARATA MEMBRANOSA PRIMARIA","",,1,,1,1,,"ICD9","DISCISAO DE CATARATA MEMBRANOSA PRIMARIA"
"1364","DISCISAO DE MEMBRANA SECUNDARIA (DEPOIS DE CATARATA)","",,1,,1,1,,"ICD9","DISCISAO DE MEMBRANA SECUNDARIA (DEPOIS DE CATARATA)"
"1365","EXCISAO DE MEMBRANA SECUNDARIA (DEPOIS DE CATARATA)","",,1,,1,1,,"ICD9","EXCISAO DE MEMBRANA SECUNDARIA (DEPOIS DE CATARATA)"
"1369","EXTRACCAO DE CATARATA NCOP","",,1,,1,1,,"ICD9","EXTRACCAO DE CATARATA NCOP"
"1372","INSERCAO SECUNDARIA INTRAOCULAR DE PROTESE DO CRISTALINO","",,1,,1,1,,"ICD9","INSERCAO SECUNDARIA INTRAOCULAR DE PROTESE DO CRISTALINO"
"144","REPARACAO DE DESCOLAMENTO DE RETINA COM DEPRESSAO ESCLERAL E IMP","",,1,,1,1,,"ICD9","REPARACAO DE DESCOLAMENTO DE RETINA COM DEPRESSAO ESCLERAL E IMP"
"147","OPERACOES NO VITREO","",,1,,1,1,,"ICD9","OPERACOES NO VITREO"
"1474","VITRECTOMIA MECANICA NCOP","",,1,,1,1,,"ICD9","VITRECTOMIA MECANICA NCOP"
"1475","INJECCAO DE SUBSTITUTO DE VITREO","",,1,,1,1,,"ICD9","INJECCAO DE SUBSTITUTO DE VITREO"
"1511","RECUO DE UM MUSCULO EXTRAOCULAR","",,1,,1,1,,"ICD9","RECUO DE UM MUSCULO EXTRAOCULAR"
"1512","AVANCO DE UM MUSCULO EXTRAOCULAR","",,1,,1,1,,"ICD9","AVANCO DE UM MUSCULO EXTRAOCULAR"
"1521","TECNICAS DE ALONGAMENTO DE UM MUSCULO EXTRAOCULAR","",,1,,1,1,,"ICD9","TECNICAS DE ALONGAMENTO DE UM MUSCULO EXTRAOCULAR"
"1529","OPERACOES NUM MUSCULO EXTRAOCULAR NCOP","",,1,,1,1,,"ICD9","OPERACOES NUM MUSCULO EXTRAOCULAR NCOP"
"154","OPERACOES EM DOIS OU MAIS MUSCULOS EXTRAOCULARES A UM OU AMBOS O","",,1,,1,1,,"ICD9","OPERACOES EM DOIS OU MAIS MUSCULOS EXTRAOCULARES A UM OU AMBOS O"
"156","REVISAO DE CIRURGIA DE MUSCULO EXTRAOCULAR","",,1,,1,1,,"ICD9","REVISAO DE CIRURGIA DE MUSCULO EXTRAOCULAR"
"1609","ORBITOTOMIAS NCOP","",,1,,1,1,,"ICD9","ORBITOTOMIAS NCOP"
"1621","OFTALMOSCOPIA","",,1,,1,1,,"ICD9","OFTALMOSCOPIA"
"1631","REMOCAO DO CONTEUDO OCULAR COM IMPLANTACAO SIMULTANEA DE PROTESE","",,1,,1,1,,"ICD9","REMOCAO DO CONTEUDO OCULAR COM IMPLANTACAO SIMULTANEA DE PROTESE"
"011","ACTOS DE DIAGNOSTICO NO CRANEO CEREBRO E MENINGES CEREBRAIS","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NO CRANEO CEREBRO E MENINGES CEREBRAIS"
"0113","BIOPSIA FECHADA [PERCUTANEA] [POR AGULHA] DO CEREBRO","",,1,,1,1,,"ICD9","BIOPSIA FECHADA [PERCUTANEA] [POR AGULHA] DO CEREBRO"
"0114","BIOPSIA ABERTA DO CEREBRO","",,1,,1,1,,"ICD9","BIOPSIA ABERTA DO CEREBRO"
"0115","BIOPSIA DO CRANEO","",,1,,1,1,,"ICD9","BIOPSIA DO CRANEO"
"0118","ACTOS DE DIAGNOSTICO NO CEREBRO E MENINGES CEREBRAIS NCOP","",,1,,1,1,,"ICD9","ACTOS DE DIAGNOSTICO NO CEREBRO E MENINGES CEREBRAIS NCOP"
"0123","REABERTURA DE CRANIOTOMIA","",,1,,1,1,,"ICD9","REABERTURA DE CRANIOTOMIA"
"0124","CRANIOTOMIAS NCOP","",,1,,1,1,,"ICD9","CRANIOTOMIAS NCOP"
"0125","CRANIECTOMIAS NCOP","",,1,,1,1,,"ICD9","CRANIECTOMIAS NCOP"
"013","INCISAO NO CEREBRO E MENINGES CEREBRAIS","",,1,,1,1,,"ICD9","INCISAO NO CEREBRO E MENINGES CEREBRAIS"
"0153","LOBECTOMIA DO CEREBRO","",,1,,1,1,,"ICD9","LOBECTOMIA DO CEREBRO"
"016","EXCISAO DE LESAO DO CRANEO","",,1,,1,1,,"ICD9","EXCISAO DE LESAO DO CRANEO"
"0203","FORMACAO DE RETALHO DE OSSO CRANIANO","",,1,,1,1,,"ICD9","FORMACAO DE RETALHO DE OSSO CRANIANO"
"0205","INSERCAO DE PLACA CRANIANA","",,1,,1,1,,"ICD9","INSERCAO DE PLACA CRANIANA"
"0231","SHUNT VENTRICULAR PARA A CABECA E PESCOCO","",,1,,1,1,,"ICD9","SHUNT VENTRICULAR PARA A CABECA E PESCOCO"
"024","REVISAO REMOCAO E IRRIGACAO DE SHUNT VENTRICULAR","",,1,,1,1,,"ICD9","REVISAO REMOCAO E IRRIGACAO DE SHUNT VENTRICULAR"
"0241","IRRIGACAO DE SHUNT VENTRICULAR","",,1,,1,1,,"ICD9","IRRIGACAO DE SHUNT VENTRICULAR"
"0243","REMOCAO DE SHUNT VENTRICULAR","",,1,,1,1,,"ICD9","REMOCAO DE SHUNT VENTRICULAR"
"0302","REABERTURA DE LAMINECTOMIA","",,1,,1,1,,"ICD9","REABERTURA DE LAMINECTOMIA"
"034","EXCISAO OU DESTRUICAO DE LESAO DA ESPINAL MEDULA OU MENINGES RAQ","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESAO DA ESPINAL MEDULA OU MENINGES RAQ"
"039","OPERACOES NA ESPINAL MEDULA E ESTRUTURAS DO CANAL MEDULAR,NCOP","",,1,,1,1,,"ICD9","OPERACOES NA ESPINAL MEDULA E ESTRUTURAS DO CANAL MEDULAR,NCOP"
"0391","INJECCAO DE ANESTESICO NO CANAL MEDULAR PARA ANALGESIA","",,1,,1,1,,"ICD9","INJECCAO DE ANESTESICO NO CANAL MEDULAR PARA ANALGESIA"
"0392","INJECCAO DE SUBSTANCIA NCOP NO CANAL MEDULAR","",,1,,1,1,,"ICD9","INJECCAO DE SUBSTANCIA NCOP NO CANAL MEDULAR"
"04","INTERVENCAO NOS NERVOS CRANEANOS E PERIFERICOS","",,0,,1,1,,"ICD9","INTERVENCAO NOS NERVOS CRANEANOS E PERIFERICOS"
"0401","NEUROTOMIA DO ACUSTICO","",,1,,1,1,,"ICD9","NEUROTOMIA DO ACUSTICO"
"0404","INCISOES DE NERVOS CRANIANOS E PERIFERICOS NCOP","",,1,,1,1,,"ICD9","INCISOES DE NERVOS CRANIANOS E PERIFERICOS NCOP"
"0405","GANGLIECTOMIA GASSERIANA","",,1,,1,1,,"ICD9","GANGLIECTOMIA GASSERIANA"
"0412","BIOPSIA ABERTA DE GANGLIO OU NERVO CRANIANO OU PERIFERICO","",,1,,1,1,,"ICD9","BIOPSIA ABERTA DE GANGLIO OU NERVO CRANIANO OU PERIFERICO"
"3804","INCISAO DA AORTA","",,1,,1,1,,"ICD9","INCISAO DA AORTA"
"3806","INCISAO DE ARTERIAS ABDOMINAIS","",,1,,1,1,,"ICD9","INCISAO DE ARTERIAS ABDOMINAIS"
"3809","INCISAO DE VEIAS DOS MEMBROS INFERIORES","",,1,,1,1,,"ICD9","INCISAO DE VEIAS DOS MEMBROS INFERIORES"
"3812","ENDARTERECTOMIA DE VASOS DA CABECA E DO PESCOCO NCOP","",,1,,1,1,,"ICD9","ENDARTERECTOMIA DE VASOS DA CABECA E DO PESCOCO NCOP"
"3843","RESSECCAO DE VASO COM SUBSTITUICAO, VASOS DOS MEMBROS SUPERIORES","",,1,,1,1,,"ICD9","RESSECCAO DE VASO COM SUBSTITUICAO, VASOS DOS MEMBROS SUPERIORES"
"3844","RESSECCAO DE VASO COM SUBSTITUICAO, AORTA","",,1,,1,1,,"ICD9","RESSECCAO DE VASO COM SUBSTITUICAO, AORTA"
"3846","RESSECCAO DE VASO COM SUBSTITUICAO, ARTERIAS ABDOMINAIS","",,1,,1,1,,"ICD9","RESSECCAO DE VASO COM SUBSTITUICAO, ARTERIAS ABDOMINAIS"
"3848","RESSECCAO DE VASO COM SUBSTITUICAO, ARTERIAS DOS MEMBROS INFERI.","",,1,,1,1,,"ICD9","RESSECCAO DE VASO COM SUBSTITUICAO, ARTERIAS DOS MEMBROS INFERI."
"3859","LAQUEACAO E STRIPPING DE VEIAS VARICOSAS DOS MEMBROS INFERIORES","",,1,,1,1,,"ICD9","LAQUEACAO E STRIPPING DE VEIAS VARICOSAS DOS MEMBROS INFERIORES"
"3893","CATETERIZACAO VENOSA, NCOP","",,1,,1,1,,"ICD9","CATETERIZACAO VENOSA, NCOP"
"3925","BYPASS AORTO-ILIACO-FEMURAL","",,1,,1,1,,"ICD9","BYPASS AORTO-ILIACO-FEMURAL"
"3927","ARTERIOVENOSTOMIA PARA DIALISE RENAL","",,1,,1,1,,"ICD9","ARTERIOVENOSTOMIA PARA DIALISE RENAL"
"3929","SHUNT OU BYPASS VASCULAR (PERIFERICO) NCOP","",,1,,1,1,,"ICD9","SHUNT OU BYPASS VASCULAR (PERIFERICO) NCOP"
"3931","SUTURA DE ARTERIA","",,1,,1,1,,"ICD9","SUTURA DE ARTERIA"
"3951","CLAMPAGEM DE ANEURISMA","",,1,,1,1,,"ICD9","CLAMPAGEM DE ANEURISMA"
"3953","REPARACAO DE FISTULA ARTERIOVENOSA","",,1,,1,1,,"ICD9","REPARACAO DE FISTULA ARTERIOVENOSA"
"398","INTERVENCAO CIRURGICA NO CORPO CAROTIDEO","",,1,,1,1,,"ICD9","INTERVENCAO CIRURGICA NO CORPO CAROTIDEO"
"400","INCISAO DE ESTRUTURAS LINFATICAS","",,1,,1,1,,"ICD9","INCISAO DE ESTRUTURAS LINFATICAS"
"4011","BIOPSIA DE ESTRUTURA LINFATICA (GANGLIO LINFATICO...)","",,1,,1,1,,"ICD9","BIOPSIA DE ESTRUTURA LINFATICA (GANGLIO LINFATICO...)"
"4022","EXCISAO DE GANGLIO LINFATICO MAMARIO INTERNO","",,1,,1,1,,"ICD9","EXCISAO DE GANGLIO LINFATICO MAMARIO INTERNO"
"4023","EXCISAO DE GANGLIO LINFATICO AXILAR","",,1,,1,1,,"ICD9","EXCISAO DE GANGLIO LINFATICO AXILAR"
"4029","EXCISAO SIMPLES DE ESTRUTURA LINFATICA NCOP","",,1,,1,1,,"ICD9","EXCISAO SIMPLES DE ESTRUTURA LINFATICA NCOP"
"4040","DISSECCAO RADICAL DO PESCOCO, SOE","",,1,,1,1,,"ICD9","DISSECCAO RADICAL DO PESCOCO, SOE"
"4041","DISSECCAO RADICAL DE GANGLIOS LINFATICOS DO PESCOCO, UNILATERAL","",,1,,1,1,,"ICD9","DISSECCAO RADICAL DE GANGLIOS LINFATICOS DO PESCOCO, UNILATERAL"
"4051","EXCISAO RADICAL DE GANGLIOS LINFATICOS AXILARES","",,1,,1,1,,"ICD9","EXCISAO RADICAL DE GANGLIOS LINFATICOS AXILARES"
"4053","EXCISAO RADICAL DE GANGLIOS LINFATICOS ILIACOS","",,1,,1,1,,"ICD9","EXCISAO RADICAL DE GANGLIOS LINFATICOS ILIACOS"
"4059","EXCISAO RADICAL DE GANGLIOS LINFATICOS NCOP","",,1,,1,1,,"ICD9","EXCISAO RADICAL DE GANGLIOS LINFATICOS NCOP"
"415","ESPLENECTOMIA TOTAL","",,1,,1,1,,"ICD9","ESPLENECTOMIA TOTAL"
"4241","ESOFAGECTOMIA PARCIAL","",,1,,1,1,,"ICD9","ESOFAGECTOMIA PARCIAL"
"4254","ANASTOMOSE INTRATORACICA DO ESOFAGO A SEGMENTO INTESTINAL SOE","",,1,,1,1,,"ICD9","ANASTOMOSE INTRATORACICA DO ESOFAGO A SEGMENTO INTESTINAL SOE"
"427","ESOFAGOMIOTOMIA","",,1,,1,1,,"ICD9","ESOFAGOMIOTOMIA"
"4289","REPARACAO DE ESOFAGO NCOP","",,1,,1,1,,"ICD9","REPARACAO DE ESOFAGO NCOP"
"4311","GASTROSTOMIA PERCUTANEA [ENDOSCOPICA]","",,1,,1,1,,"ICD9","GASTROSTOMIA PERCUTANEA [ENDOSCOPICA]"
"432","GASTROSTOMIA PERMANENTE","",,1,,1,1,,"ICD9","GASTROSTOMIA PERMANENTE"
"4342","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO DO ESTOMAGO","",,1,,1,1,,"ICD9","EXCISAO LOCAL OU DESTRUICAO DE LESAO OU TECIDO DO ESTOMAGO"
"4381","GASTRECTOMIA PARCIAL COM TRANSPOSICAO JEJUNAL","",,1,,1,1,,"ICD9","GASTRECTOMIA PARCIAL COM TRANSPOSICAO JEJUNAL"
"4399","GASTRECTOMIA TOTAL, NCOP","",,1,,1,1,,"ICD9","GASTRECTOMIA TOTAL, NCOP"
"4401","VAGOTOMIA TRONCULAR","",,1,,1,1,,"ICD9","VAGOTOMIA TRONCULAR"
"4465","ESOFAGOGASTROPLASTIA","",,1,,1,1,,"ICD9","ESOFAGOGASTROPLASTIA"
"4561","RESSECCAO SEGMENTAR MULTIPLA DE INTESTINO DELGADO","",,1,,1,1,,"ICD9","RESSECCAO SEGMENTAR MULTIPLA DE INTESTINO DELGADO"
"1662","REVISAO DE REINSERCAO DE IMPLANTE OCULAR","",,1,,1,1,,"ICD9","REVISAO DE REINSERCAO DE IMPLANTE OCULAR"
"1663","REVISAO DE LOCA DE ENUCLEACAO COM ENXERTO","",,1,,1,1,,"ICD9","REVISAO DE LOCA DE ENUCLEACAO COM ENXERTO"
"1664","REVISAO DE LOCA DE ENUCLEACAO NCOP","",,1,,1,1,,"ICD9","REVISAO DE LOCA DE ENUCLEACAO NCOP"
"1666","REVISAO DE CAVIDADE DE EXENTERACAO NCOP","",,1,,1,1,,"ICD9","REVISAO DE CAVIDADE DE EXENTERACAO NCOP"
"1669","TECNICAS SECUNDARIAS APOS EXTRACCAO DO GLOBO OCULAR NCOP","",,1,,1,1,,"ICD9","TECNICAS SECUNDARIAS APOS EXTRACCAO DO GLOBO OCULAR NCOP"
"1681","REPARACAO DE FERIDA DA ORBITA","",,1,,1,1,,"ICD9","REPARACAO DE FERIDA DA ORBITA"
"1829","EXCISAO OU DESTRUICAO DE LESOES NCOP DO OUVIDO EXTERNO","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO DE LESOES NCOP DO OUVIDO EXTERNO"
"1831","EXCISAO RADICAL DE LESAO DO OUVIDO EXTERNO","",,1,,1,1,,"ICD9","EXCISAO RADICAL DE LESAO DO OUVIDO EXTERNO"
"185","CORRECCAO CIRURGICA DE ORELHA ALADA","",,1,,1,1,,"ICD9","CORRECCAO CIRURGICA DE ORELHA ALADA"
"186","RECONSTRUCAO DE CANAL AUDITIVO EXTERNO","",,1,,1,1,,"ICD9","RECONSTRUCAO DE CANAL AUDITIVO EXTERNO"
"1871","CONSTRUCAO DE PAVILHAO AURICULAR","",,1,,1,1,,"ICD9","CONSTRUCAO DE PAVILHAO AURICULAR"
"1879","REPARACOES PLASTICAS DE OUVIDO EXTERNO NCOP","",,1,,1,1,,"ICD9","REPARACOES PLASTICAS DE OUVIDO EXTERNO NCOP"
"1919","ESTAPEDECTOMIAS NCOP","",,1,,1,1,,"ICD9","ESTAPEDECTOMIAS NCOP"
"195","TIMPANOPLASTIAS NCOP","",,1,,1,1,,"ICD9","TIMPANOPLASTIAS NCOP"
"1953","TIMPANOPLASTIA TIPO III","",,1,,1,1,,"ICD9","TIMPANOPLASTIA TIPO III"
"2001","MIRINGOTOMIA COM INSERCAO DE TUBO","",,1,,1,1,,"ICD9","MIRINGOTOMIA COM INSERCAO DE TUBO"
"2041","MASTOIDECTOMIA SIMPLES","",,1,,1,1,,"ICD9","MASTOIDECTOMIA SIMPLES"
"2042","MASTOIDECTOMIA RADICAL","",,1,,1,1,,"ICD9","MASTOIDECTOMIA RADICAL"
"2092","REVISAO DE MASTOIDECTOMIA","",,1,,1,1,,"ICD9","REVISAO DE MASTOIDECTOMIA"
"2132","EXCISAO OU DESTRUICAO LOCALIZADA DE LESOES NCOP DO NARIZ","",,1,,1,1,,"ICD9","EXCISAO OU DESTRUICAO LOCALIZADA DE LESOES NCOP DO NARIZ"
